"date","yearBorn","yearDead","Name","description"
"1974-7 - 1","1974","-1","Jefferson Pérez","corredor de marcha ecuatoriano."
"1974-7 - 1","1974","-1","Octavi Pujades","actor español."
"1974-7 - 1","1974","-1","Petar Krpan","futbolista croata."
"1975-7 - 1","1975","-1","Sean Colson","baloncestista y entrenador estadounidense."
"1975-7 - 1","1975","-1","Íngrid Cruz","actriz chilena."
"1975-7 - 1","1975","-1","Sufjan Stevens","músico y cantautor estadounidense."
"1976-7 - 1","1976","-1","Ángel de Brito","conductor de televisión y periodista argentino."
"1976-7 - 1","1976","-1","Patrick Kluivert","futbolista neerlandés."
"1976-7 - 1","1976","-1","Ruud van Nistelrooy","futbolista neerlandés."
"1976-7 - 1","1976","-1","Hannu Tihinen","futbolista finlandés."
"1976-7 - 1","1976","-1","Justin Lo","cantante, compositor y actor hongkonés."
"1976-7 - 1","1976","-1","Thomas Sadoski","actor estadounidense."
"1977-7 - 1","1977","-1","Tom Frager","cantante, compositor y guitarrista senegalés."
"1977-7 - 1","1977","-1","Jarome Iginla","jugador canadiense de hockey sobre hielo."
"1977-7 - 1","1977","-1","Verónica Sánchez","actriz española."
"1977-7 - 1","1977","-1","Liv Tyler","actriz y modelo estadounidense."
"1979-7 - 1","1979","-1","Forrest Griffin","artista marcial y actor estadounidense."
"1980-7 - 1","1980","-1","Nelson Cruz","beisbolista dominicano."
"1980-7 - 1","1980","-1","Youssef Mohamad","futbolista libanés."
"1981-7 - 1","1981","-1","Uday Taleb","futbolista iraquí."
"1982-7 - 1","1982","-1","Hilarie Burton","actriz estadounidense."
"1982-7 - 1","1982","-1","Carmella DeCesare","modelo y luchadora estadounidense."
"1982-7 - 1","1982","-1","Joachim Johansson","tenista sueco."
"1982-7 - 1","1982","-1","Luciano Leguizamón","futbolista argentino."
"1982-7 - 1","1982","-1","Bassim Abbas","futbolista iraquí."
"1983-7 - 1","1983","-1","Marit Larsen","cantante, compositora y tecladista noruega de la banda M2M."
"1983-7 - 1","1983","-1","Leeteuk (Park Jung-soo)","cantante y actor surcoreano, de la banda Super Junior."
"1983-7 - 1","1983","-1","Tanya Chisholm","actriz estadounidense."
"1983-7 - 1","1983","-1","María Inés Guerra","presentadora de televisión y cantante mexicana."
"1984-7 - 1","1984","-1","Bracey Wright","baloncestista estadounidense."
"1985-7 - 1","1985","-1","Léa Seydoux","actriz francesa."
