"date","yearBorn","yearDead","Name","description"
"1911-9-1","1911","1994","Francisco Bonilla Martí","obstetra y ginecólogo español "
"1911-9-1","1911","2006","Kōmei Abe","compositor, director de orquesta y músico japonés "
"1915-9-1","1915","2011","Émile Masson","ciclista belga "
"1915-9-1","1915","2001","Xam","pintor español "
"1917-9-1","1917","1985","Rinus Meijer","escultor neerlandés "
"1920-9-1","1920","1984","Leny Eversong","cantante brasileña "
"1920-9-1","1920","2000","Richard Farnsworth","actor estadounidense "
"1920-9-1","1920","2001","Joyce King","atleta australiana "
"1920-9-1","1920","2006","Hubert Lampo","escritor belga "
"1920-9-1","1920","2005","Reynaldo Mompel","actor argentino "
"1922-9-1","1922","2007","Yvonne De Carlo","actriz canadiense "
"1922-9-1","1922","2000","Vittorio Gassman","actor italiano "
"1923-9-1","1923","1969","Rocky Marciano","boxeador estadounidense "
"1923-9-1","1923","2006","Kenneth Thomson","coleccionista y empresario canadiense "
"1924-9-1","1924","2016","Gustavo Bueno","filósofo español "
"1925-9-1","1925","2018","Roy J. Glauber","físico estadounidense, premio nobel de física en 2005 "
"1925-9-1","1925","1982","Art Pepper","saxofonista y músico estadounidense de jazz "
"1929-9-1","1929","2018","Eduardo Colombo","médico y anarquista argentino "
"1930-9-1","1930","2012","Roberto González Barrera","empresario y filántropo mexicano "
"1930-9-1","1930","2019","Michel Serrés","filósofo francés "
"1931-9-1","1931","1966","Javier Solís","cantante de boleros y actor mexicano "
"1931-9-1","1931","2012","Abdul Haq Ansari","pensador islámico indio "
"1931-9-1","1931","2016","Arturo Pomar","ajedrecista español "
"1933-9-1","1933","1993","Conway Twitty","músico country estadounidense "
"1933-9-1","1933","2006","Ann Richards","política estadounidense "
"1934-9-1","1934","2012","Terepai Maoate","político cookiano "
"1935-9-1","1935","2013","Raúl Araiza","productor y cineasta mexicano "
"1935-9 - 1","1935","-1","Seiji Ozawa","director de orquesta y músico japonés."
"1936-9-1","1936","1988","Valeri legásov","científico soviético reconocido por su trabajo de investigación en la explosión de la planta nuclear de Chernóbil el 26 de abril de 1986 "
"1937-9 - 1","1937","-1","Allen Jones","artista británico."
"1938-9 - 1","1938","-1","Per Kirkeby","pintor danés."
"1939-9 - 1","1939","-1","Xavier Rubert de Ventós","filósofo, escritor, catedrático y político español."
"1939-9 - 1","1939","-1","Lily Tomlin","actriz y comediante estadounidense."
"1942-9 - 1","1942","-1","C. J. Cherryh","escritora estadounidense."
"1942-9 - 1","1942","-1","António Lobo Antunes","escritor portugués."
"1943-9-1","1943","2020","Raymundo Capetillo","actor mexicano "
"1944-9 - 1","1944","-1","Leonard Slatkin ","director de orquesta estadounidense."
"1945-9 - 1","1945","-1","Mustafa Balel","escritor y traductor turco."
"1946-9 - 1","1946","-1","Barry Gibb","músico británico, de la banda Bee Gees."
"1946-9-1","1946","2009","Roh Moo-hyun","presidente surcoreano "
"1947-9-1","1947","1996","Leonardo Simons","presentador de televisión argentino "
"1948-9 - 1","1948","-1","Ramón Jáuregui","político español."
"1950-9 - 1","1950","-1","Mijaíl Fradkov","político ruso."
"1950-9 - 1","1950","-1","Phil McGraw","psicólogo, presentador de televisión y escritor estadounidense."
"1951-9 - 1","1951","-1","Yoel Acosta Chirinos","militar y político venezolano."
"1951-9-1","1951","1996","Cristina Lemercier","actriz y presentadora de televisión argentina "
"1952-9 - 1","1952","-1","Benjamín Monterroso","futbolista y entrenador guatemalteco."
"1955-9 - 1","1955","-1","Jesús Bonilla","actor y cineasta español."
"1957-9 - 1","1957","-1","Gloria Estefan (Gloria María Milagrosa Fajardo García)","cantante estadounidense."
"1957-9 - 1","1957","-1","Duško Ivanović","jugador y entrenador de baloncesto montenegrino."
"1957-9 - 1","1957","-1","Mohammad Ali Jafari","militar iraní, comandante actual de la guardia revolucionaria."
"1958-9-1","1958","2002","Armi Aavikko","cantante finlandesa "
"1961-9-1","1961","2007","Scott Bigelow","luchador profesional estadounidense "
"1962-9 - 1","1962","-1","Ruud Gullit","futbolista neerlandés."
"1965-9 - 1","1965","-1","Craig McLachlan","actor y cantante australiano."
"1966-9 - 1","1966","-1","Tim Hardaway","baloncestista estadounidense."
"1966-9 - 1","1966","-1","Ariel Rivera","actor y cantante filipino."
"1968-9-1","1968","2001","Mohamed Atta","terrorista egipcio cabecilla del 11S y participante del atentado "
"1969-9 - 1","1969","-1","Armando Araiza","actor mexicano."
"1969-9 - 1","1969","-1","Enric Masip","jugador español de balonmano."
"1969-9 - 1","1969","-1","Darío Scotto","futbolista argentino."
"1970-9 - 1","1970","-1","Hwang Jung-min","actor surcoreano."
"1970-9 - 1","1970","-1","Padma Lakshmi","actriz, modelo y presentadora de televisión india."
"1971-9 - 1","1971","-1","Lââm","cantante francesa de origen tunecino."
"1971-9 - 1","1971","-1","Jimmy Snuka","Jr., luchador profesional estadounidense."
"1971-9 - 1","1971","-1","Hakan Şükür","futbolista turco."
"1972-9 - 1","1972","-1","José Luis García Pérez","actor español."
"1975-9 - 1","1975","-1","Cuttino Mobley","baloncestista estadounidense."
"1975-9 - 1","1975","-1","Omar Rodríguez-López","músico puertorriqueño, de la banda The Mars Volta."
"1975-9 - 1","1975","-1","Scott Speedman","actor anglo-canadiense."
"1975-9 - 1","1975","-1","Maritza Rodríguez","actriz, modelo, presentadora y empresaria colombiana."
"1976-9 - 1","1976","-1","Érik Morales","boxeador mexicano."
"1976-9 - 1","1976","-1","Jada Fire","actriz pornográfica estadounidense."
"1977-9 - 1","1977","-1","David Albelda","futbolista español."
"1979-9 - 1","1979","-1","James O'Connor","futbolista irlandés."
"1979-9 - 1","1979","-1","Fernando Varela","futbolista español."
"1979-9 - 1","1979","-1","Cecilia Piñeiro","actriz mexicana."
"1980-9 - 1","1980","-1","Sammy Adjei","futbolista ghanés."
"1980-9 - 1","1980","-1","José Madero Vizcaíno","cantante mexicano, de la banda Panda."
"1981-9 - 1","1981","-1","Luis Rojas Alou","entrenador dominicano."
"1982-9 - 1","1982","-1","Ryan Gomes","baloncestista estadounidense."
"1982-9 - 1","1982","-1","Guillermo Dutra","futbolista uruguayo."
"1983-9 - 1","1983","-1","Marcelo Carrusca","futbolista argentino."
"1983-9-1","1983","2019","José Antonio Reyes","futbolista español "
"1984-9 - 1","1984","-1","Joseph Trohman","guitarrista estadounidense, de la banda Fall Out Boy."
"1984-9 - 1","1984","-1","Yūta Hiraoka","actor japonés."
"1985-9 - 1","1985","-1","Camile Velasco","cantante filipina."
"1986-9 - 1","1986","-1","Calais Campbell","jugador estadounidense de fútbol americano."
"1986-9 - 1","1986","-1","Gaël Monfils","tenista francés."
"1986-9 - 1","1986","-1","Stella Mwangi","cantante noruega de origen keniano."
"1987-9 - 1","1987","-1","Emma Kete","futbolista neozelandesa."
"1988-9 - 1","1988","-1","Chanel West Coast","rapera y modelo estadounidense"
"1989-9 - 1","1989","-1","Bill y Tom Kaulitz","músicos alemanes, de la banda Tokio Hotel."
"1989-9 - 1","1989","-1","Jefferson Montero","futbolista ecuatoriano."
"1989-9 - 1","1989","-1","Daniel Sturridge","futbolista británico."
"1989-9 - 1","1989","-1","Lea Sirk","cantante eslovena."
"1990-9 - 1","1990","-1","Stanislav Tecl","futbolista checo."
"1991-9 - 1","1991","-1","Haukur Heiðar Hauksson","futbolista islandés."
"1992-9 - 1","1992","-1","Kirani James","atleta granadino."
"1994-9 - 1","1994","-1","Carlos Sainz Jr.","piloto español de Fórmula 1."
"1994-9 - 1","1994","-1","Melvin De La Cruz","reconocido emprendedor Dominicano."
"1994-9 - 1","1994","-1","Bianca Ryan","cantante estadounidense."
"1995-9 - 1","1995","-1","Munir","futbolista español."
"1996-9 - 1","1996","-1","Elsa Jean","actriz estadounidense."
"1996-9 - 1","1996","-1","Zendaya","actriz estadounidense."
"1997-9 - 1","1997","-1","Jungkook","cantante surcoreano, integrante del grupo BTS."
"1998-9 - 1","1998","-1","Juan Manuel Celaya","clavadista mexicano."
"86-10-1","86","34C","Salustio","historiador romano "
"208-10-1","208","235","Alejandro Severo","emperador romano "
"1207-10-1","1207","1272","Enrique III","aristócrata y rey inglés entre 1216 y 1272 "
"1348-10-1","1348","1372","Isabel de Francia","aristócrata francesa "
"1541-10-1","1541","1614","El Greco","pintor griego "
"1627-10-1","1627","1726","Galeazzo Marescotti","cardenal italiano "
"1685-10-1","1685","1740","Carlos VI de Alemania","emperador romano-germánico "
"1756-10-1","1756","1821","Francisco Santpons","médico e inventor español "
"1760-10-1","1760","1844","William Thomas Beckford","escritor y político británico "
"1771-10-1","1771","1842","Pierre Baillot","violinista y compositor francés "
"1780-10-1","1780","1851","Göran Wahlenberg","botánico sueco "
"1791-10-1","1791","1859","Sergéi Aksákov","escritor ruso "
"1796-10-1","1796","1883","José María Espinosa","fue un prócer de la Independencia, pintor y cronista colombiano. "
"1800-10-1","1800","1861","Lars Levi Laestadius","botánico sueco "
"1825-10-1","1825","1892","Luis Martos y Potestad","militar y político conservador español "
"1842-10-1","1842","1888","Charles Cros","poeta e inventor francés "
"1844-10-1","1844","1892","Carlos Fuero","militar y político mexicano "
"1847-10-1","1847","1933","Annie Besant","escritora, educadora y periodista británica "
"1855-10-1","1855","1937","José Benlliure","pintor español "
"1865-10-1","1865","1935","Paul Dukas","compositor francés "
"1867-10-1","1867","1901","Fernand Pelloutier","anarquista y sindicalista francés "
"1878-10-1","1878","1950","Othmar Spann","filósofo y economista austríaco "
"1880-10-1","1880","1945","Bruno Neira González","militar y político mexicano "
"1881-10-1","1881","1956","William E. Boeing","ingeniero y pionero de la aviación estadounidense "
"1884-10-1","1884","1963","Vicente Risco","político e intelectual español "
"1889-10-1","1889","1975","Minta Durfee","actriz estadounidense "
"1890-10-1","1890","1952","César Barja","crítico literario español "
"1890-10-1","1890","1982","Stanley Holloway","actor británico "
"1892-10-1","1892","1971","Emilio Pettoruti","pintor argentino "
"1893-10-1","1893","1983","Marianne Brandt","escultora alemana "
"1893-10-1","1893","1972","Yip Man","maestro de Artes Marciales "
"1896-10-1","1896","1951","Liaquat Ali Khan","primer ministro pakistaní "
"1896-10-1","1896","1937","Ted Healy","actor estadounidense "
"1899-10-1","1899","1950","Ernest Haycox","escritor estadounidense "
"1903-10-1","1903","1989","Vladimir Horowitz","pianista ucraniano-estadounidense "
"1904-10-1","1904","1979","Otto Robert Frisch","físico austríaco-británico "
"1904-10-1","1904","1977","A. K. Gopalan","líder comunista indio "
"1905-10-1","1905","1991","Alfons Goppel","político alemán "
"1909-10-1","1909","1998","Maurice Bardèche","fascista francés "
"1909-10-1","1909","2003","Miquel Batllori","historiador español "
"1910-10-1","1910","1983","Fritz Köberle","físico austríaco "
"1910-10-1","1910","1934","Bonnie Parker","forajida estadounidense "
"1912-10-1","1912","1994","Tulio Jacovella","periodista, editor de libros y escritor argentino "
"1912-10-1","1912","2014","Kathleen Ollerenshaw","matemática y política británica "
"1913-10-1","1913","2009","Hélio Gracie","luchador brasileño "
"1914-10-1","1914","2004","Daniel J. Boorstin","historiador y escritor estadounidense "
"1915-10-1","1915","2016","Jerome Bruner","psicólogo estadounidense "
"1917-10-1","1917","1974","René de Rooy","escritor surinamés "
"1918-10-1","1918","1984","Raimundo Blanco","futbolista español "
"1920-10-1","1920","2000","Walter Matthau","actor estadounidense "
"1921-10-1","1921","2009","James Whitmore","actor estadounidense "
"1922-10 - 1","1922","-1","Chen Ning Yang","físico chino-estadounidense, premio Nobel de Física en 1957."
"1923-10-1","1923","2006","Yuki Nambá","actriz argentina "
"1923-10-1","1923","2011","Julio Mario Santo Domingo","empresario e industrial panameño "
"1924-10 - 1","1924","-1","Jimmy Carter","militar y político estadounidense, 39.º presidente de los Estados Unidos entre 1977 y 1981, premio nobel de la paz en 2002."
"1924-10-1","1924","2005","William Rehnquist","abogado y juez estadounidense "
"1927-10-1","1927","2001","Kazuya Sakai","pintor argentino de origen japonés "
"1927-10-1","1927","2010","Tom Bosley","actor estadounidense "
"1928-10-1","1928","1973","Laurence Harvey","actor británico de origen lituano "
"1928-10-1","1928","1994","George Peppard","actor estadounidense "
"1928-10-1","1928","1969","Willy Mairesse","piloto de carreras belga "
"1928-10 - 1","1928","-1","Zhu Rongji","político chino."
"1929-10-1","1929","1998","Ernesto Grillo","futbolista argentino "
"1930-10-1","1930","2002","Richard Harris","actor irlandés "
"1930-10-1","1930","2006","Philippe Noiret","actor francés "
"1931-10-1","1931","2021","Sylvano Bussotti","compositor italiano "
"1932-10-1","1932","1993","Albert Collins","guitarrista estadounidense "
"1933-10 - 1","1933","-1","Pozzi Escot","compositora y teórica musical estadounidense de origen peruano."
"1934-10-1","1934","2014","Emilio Botín","banquero español "
"1935-10 - 1","1935","-1","Julie Andrews","actriz británica."
"1935-10-1","1935","1978","Julio Jaramillo","cantante ecuatoriano "
"1936-10-1","1936","1958","Duncan Edwards","futbolista británico "
"1936-10-1","1936","2013","Jorge «Cuque» Sclavo","escritor, humorista, periodista y publicista uruguayo "
"1936-10 - 1","1936","-1","Stella Stevens","actriz y modelo estadounidense."
"1936-10 - 1","1936","-1","Edward Villela","bailarín y coreógrafo estadounidense."
"1940-10-1","1940","1968","Julio César Benítez","futbolista uruguayo "
"1942-10 - 1","1942","-1","Jean-Pierre Jabouille","automovilista francés."
"1942-10 - 1","1942","-1","Günter Wallraff","periodista y escritor alemán."
"1943-10 - 1","1943","-1","Jean-Jacques Annaud","cineasta francés."
"1943-10 - 1","1943","-1","Jerry Martini","saxofonista estadounidense, de la banda Sly & the Family Stone."
"1945-10 - 1","1945","-1","Rod Carew","beisbolista panameño."
"1945-10-1","1945","1979","Donny Hathaway","cantante de soul estadounidense "
"1945-10 - 1","1945","-1","Ram Nath Kovind","político indio."
"1947-10 - 1","1947","-1","Francisco Álvarez-Cascos","político español."
"1947-10 - 1","1947","-1","Aarón Ciechanover","biólogo israelí, premio Nobel de Química en 2004."
"1947-10 - 1","1947","-1","Stephen Collins","actor estadounidense."
"1947-10 - 1","1947","-1","Remigio Hermoso","beisbolista, entrenador y político venezolano."
"1947-10-1","1947","2006","Mariska Veres","cantante neerlandesa, de la banda Shocking Blue "
"1947-10-1","1947","1989","Andrés do Barro","cantante español "
"1948-10-1","1948","2000","Cub Koda","cantante estadounidense, de la banda Brownsville Station "
"1949-10-1","1949","2002","Gerónimo Saccardi","futbolista argentino "
"1949-10-1","1949","2010","Isaac Bonewits","escritor estadounidense "
"1949-10 - 1","1949","-1","André Rieu","violinista y compositor neerlandés."
"1950-10 - 1","1950","-1","Randy Quaid","actor estadounidense."
"1950-10 - 1","1950","-1","Marco Tullio Giordana","cineasta italiano"
"1953-10-1","1953","2011","Grete Waitz","atleta noruega "
"1953-10 - 1","1953","-1","Franklin Vírgüez","actor venezolano de televisión y cine"
"1953-10 - 1","1953","-1","Klaus Wowereit","político alemán, alcalde de Berlín."
"1953-10 - 1","1953","-1","Jesús Zambrano Grijalva","político mexicano."
"1954-10 - 1","1954","-1","Ricardo Solari","ingeniero chileno."
"1955-10 - 1","1955","-1","Manuel Vicente","actor argentino."
"1956-10 - 1","1956","-1","Marcos Alonso Peña","futbolista y entrenador español."
"1956-10 - 1","1956","-1","Andrus Ansip","político y primer ministro estonio."
"1956-10 - 1","1956","-1","Theresa May","política y primera ministra británica."
"1958-10 - 1","1958","-1","Zeta Bosio","bajista argentino, de la banda Soda Stereo."
"1959-10 - 1","1959","-1","Nito Artaza","actor, humorista y político argentino."
"1959-10 - 1","1959","-1","Youssou N'Dour","cantante senegalés."
"1960-10 - 1","1960","-1","Máxima Apaza","política y activista indígena boliviana."
"1961-10 - 1","1961","-1","Rico Constantino","luchador estadounidense."
"1962-10 - 1","1962","-1","Juana Molina","cantautora y actriz cómica argentina."
"1962-10 - 1","1962","-1","Iñaki Munita","batería español, de la banda Ángeles del Infierno."
"1963-10 - 1","1963","-1","Mark McGwire","beisbolista estadounidense."
"1963-10 - 1","1963","-1","Jean-Denis Délétraz","piloto de carreras suizo."
"1964-10 - 1","1964","-1","Max Matsuura","productor musical japonés."
"1965-10 - 1","1965","-1","Cindy Margolis","modelo estadounidense."
"1965-10 - 1","1965","-1","Ted King","actor estadounidense."
"1966-10 - 1","1966","-1","George Weah","futbolista y político liberiano."
"1966-10 - 1","1966","-1","Cuco Ziganda (José Ángel Ziganda)","futbolista español."
"1966-10 - 1","1966","-1","Nina","actriz y cantante española."
"1969-10 - 1","1969","-1","Zach Galifianakis","actor y comediante grecoestadounidense."
"1969-10 - 1","1969","-1","Ori Kaplan","músico israelí de jazz."
"1969-10 - 1","1969","-1","Marcus Stephen","expresidente de Nauru."
"1971-10 - 1","1971","-1","Sonia Monroy","cantante y bailarina española."
"1974-10 - 1","1974","-1","Keith Duffy","cantante y actor irlandés, de la banda Boyzone."
"1974-10 - 1","1974","-1","Nach (Ignacio Fornés Olmo)","rapero español."
"1975-10-1","1975","2017","Bimba Bosé","cantante y diseñadora española "
"1975-10 - 1","1975","-1","Chulpan Khamatova","actriz rusa."
"1975-10 - 1","1975","-1","Zoltán Sebescen","futbolista alemán."
"1976-10 - 1","1976","-1","Ümit Karan","futbolista turco."
"1976-10 - 1","1976","-1","Dora Venter","actriz porno húngara."
"1977-10 - 1","1977","-1","Claudia Palacios","periodista y presentadora colombiana."
"1978-10 - 1","1978","-1","Leticia Cline","modelo estadounidense."
"1979-10 - 1","1979","-1","Gilberto Martínez","futbolista costarricense."
"1981-10 - 1","1981","-1","Júlio Baptista","futbolista brasileño."
"1981-10 - 1","1981","-1","Silvio Dulcich","futbolista argentino."
"1983-10 - 1","1983","-1","Juan Cominges","futbolista peruano."
"1983-10 - 1","1983","-1","Mirko Vučinić","futbolista montenegrino."
"1984-10 - 1","1984","-1","Leandro Gioda","futbolista argentino."
"1984-10-1","1984","2014","Mónica Spear","actriz y modelo venezolana, ex Miss Venezuela "
"1985-10 - 1","1985","-1","Tirunesh Dibaba","atleta etíope."
"1986-10 - 1","1986","-1","Ricardo Vaz Té","futbolista portugués."
"1986-10 - 1","1986","-1","Daniela Katzenberger","modelo y estrella de telerrealidad alemana."
"1986-10-1","1986","2021","Sayaka Kanda","seiyū y cantante japonesa "
"1987-10 - 1","1987","-1","Matthew Daddario","actor estadounidense"
"1988-10 - 1","1988","-1","Cariba Heine","actriz sudafricana."
"1989-10 - 1","1989","-1","Brie Larson","actriz, directora, guionista, cantante y youtuber estadounidense."
"1989-10-1","1989","2011","Guido Falaschi","piloto de automovilismo argentino "
"1990-10 - 1","1990","-1","Hazal Kaya","actriz turca."
"1991-10 - 1","1991","-1","Chiara Molina","actriz peruana."
"1992-10 - 1","1992","-1","Xander Bogaerts","beisbolista arubeño."
"1993-10 - 1","1993","-1","Pablo Gállego Lardiés","futbolista español."
"1997-10 - 1","1997","-1","Jade Bird","cantante británica."
"1997-10 - 1","1997","-1","Mattia Vitale","futbolista italiano."
"2001-10 - 1","2001","-1","Luna Blaise","actriz estadounidense."
"2006-10 - 1","2006","-1","Priah Ferguson","actriz estadounidense."
"846-11-1","846","879","Luis el Tartamudo","rey francés "
"1339-11-1","1339","1365","Rodolfo IV","aristócrata austriaco "
"1351-11-1","1351","1386","Leopoldo III de Austria","aristócrata austriaco "
"1526-11-1","1526","1583","Catalina Jagellón","aristócrata finlandesa, reina de Suecia "
"1530-11-1","1530","1563","Étienne de La Boétie","juez, filósofo y escritor francés "
"1542-11-1","1542","1617","Tarquinia Molza","cantante, poetisa, directora, compositora y filósofa natural italiana "
"1549-11-1","1549","1580","Ana de Austria","aristócrata española, cuarta esposa de Felipe II "
"1554-11-1","1554","1618","Prospero Farinacci","jurista italiano "
"1567-11-1","1567","1626","Diego Sarmiento de Acuña","diplomático español "
"1585-11-1","1585","1652","Jan Brożek","matemático, físico y astrónomo polaco "
"1596-11-1","1596","1669","Pietro da Cortona","arquitecto y pintor barroco italiano "
"1636-11-1","1636","1711","Nicolás Boileau","poeta y crítico francés "
"1667-11-1","1667","1742","Carlo Gaetano Stampa","cardenal y arzobispo italiano "
"1713-11-1","1713","1769","Antonio Genovesi","escritor y filósofo italiano "
"1743-11-1","1743","1807","Johann Friedrich Wilhelm Herbst","naturalista y entomólogo alemán "
"1753-11-1","1753","1828","Félix María Calleja del Rey","militar español "
"1757-11-1","1757","1822","Antonio Canova","escultor italiano "
"1762-11-1","1762","1812","Spencer Perceval","político británico "
"1764-11-1","1764","1814","Josefa Dominga Catalá de Valeriola","aristócrata española "
"1778-11-1","1778","1837","Gustavo IV Adolfo","rey sueco "
"1781-11-1","1781","1858","Joseph Karl Stieler","pintor alemán "
"1782-11-1","1782","1859","Frederick John Robinson","político británico "
"1786-11-1","1786","1868","Mariquita Sánchez de Thompson","patriota y socialité argentina "
"1797-11-1","1797","1848","Santos Michelena","político y diplomático venezolano "
"1800-11-1","1800","1877","José María del Canto Marín de Poveda","militar chileno "
"1815-11-1","1815","1878","Crawford W. Long","médico estadounidense, primer anestesiólogo occidental "
"1847-11-1","1847","1930","Emma Albani","soprano canadiense "
"1849-11-1","1849","1906","Valentín Lamas Carvajal","poeta y periodista español "
"1850-11-1","1850","1923","Rosario de Acuña","escritora, periodista y sufragista española "
"1857-11-1","1857","1913","Darío de Regoyos","pintor español "
"1871-11-1","1871","1900","Stephen Crane","escritor estadounidense "
"1871-11-1","1871","1928","Alexander Spendiaryan","director de orquesta y compositor armenio "
"1872-11-1","1872","1953","Maude Adams","actriz estadounidense "
"1873-11-1","1873","1936","Santos González Roncal","militar español y uno de los Últimos de Filipinas "
"1878-11-1","1878","1959","Carlos Saavedra Lamas","político y jurista argentino, premio nobel de la paz en 1936 "
"1880-11-1","1880","1957","Sholem Asch","escritor estadounidense de origen polaco "
"1880-11-1","1880","1930","Alfred Wegener","meteorólogo y geofísico alemán "
"1881-11-1","1881","1964","Edward Van Sloan","actor estadounidense "
"1884-11-1","1884","1973","Annibale Bergonzoli","general italiano "
"1885-11-1","1885","1941","Guido Adler","musicólogo y docente austriaco "
"1886-11-1","1886","1951","Hermann Broch","escritor, ensayista, novelista, dramaturgo y filósofo austríaco "
"1887-11-1","1887","1976","L. S. Lowry","pintor británico "
"1889-11-1","1889","1982","Philip J. Noel-Baker","atleta, político y diplomático británico, premio nobel de la paz en 1959 "
"1889-11-1","1889","1978","Hannah Höch","pintora y fotógrafa alemana "
"1892-11-1","1892","1946","Alexander Alekhine","ajedrecista ruso "
"1898-11-1","1898","1971","Manuel Tello Baurraud","político mexicano "
"1902-11-1","1902","1987","Eugen Jochum","director de orquesta y músico alemán "
"1903-11-1","1903","1995","Jean Tardieu","artista y poeta francés "
"1904-11-1","1904","1971","Manuel Cisneros Sánchez","periodista y político peruano "
"1904-11-1","1904","1981","Telesforo Monzón","escritor, político español "
"1907-11-1","1907","1951","Homero Manzi","letrista argentino de tangos "
"1907-11-1","1907","1982","Wu Yonggang","cineasta chino "
"1907-11-1","1907","1982","Theo Akkermann","escultor alemán "
"1911-11-1","1911","2007","Henri Troyat","escritor, historiador y biógrafo ruso-francés "
"1914-11-1","1914","1966","Petronio Álvarez","músico, poeta e inspirador colombiano de música del Pacífico. "
"1919-11-1","1919","2005","Hermann Bondi","matemático y cosmólogo austriaco "
"1920-11-1","1920","2011","George M. White","arquitecto estadounidense "
"1921-11-1","1921","2006","María Cánepa","actriz chilena "
"1921-11-1","1921","2008","Mario Rigoni Stern","escritor italiano "
"1922-11-1","1922","1998","Santos Colón","cantante de boleros y salsa puertorriqueño "
"1922-11-1","1922","2007","José Manuel Pita Andrade","historiador del arte español "
"1923-11-1","1923","2014","Carlos Páez Vilaró","artista plástico uruguayo "
"1923-11-1","1923","2005","Victoria de los Ángeles","soprano española "
"1924-11-1","1924","2015","Süleyman Demirel","presidente turco "
"1926-11 - 1","1926","-1","Lou Donaldson","saxofonista estadounidense de jazz."
"1927-11 - 1","1927","-1","Filippo Maria Pandolfi","político italiano."
"1929-11-1","1929","2015","Betsy Palmer","actriz estadounidense "
"1931-11-1","1931","2021","Shunsuke Kikuchi","músico y compositor japonés "
"1931-11-1","1931","2009","Manuel Ocampo","bailarín, coreógrafo y docente guatemalteco "
"1932-11 - 1","1932","-1","Joaquín Achúcarro","pianista español."
"1932-11 - 1","1932","-1","Francis Arinze","cardenal y arzobispo nigeriano."
"1932-11 - 1","1932","-1","John Clark","actor y director británico."
"1932-11-1","1932","2004","Alberto Salinas","dibujante de historietas argentino "
"1933-11-1","1933","OWV2015","Oswal (Osvaldo Wálter Viola)","dibujante, docente y guionista argentino "
"1934-11-1","1934","2011","Jackson Lago","político brasileño "
"1935-11 - 1","1935","-1","Gary Player","golfista sudafricano."
"1935-11-1","1935","2003","Edward Said","escritor y activista palestino "
"1936-11-1","1936","2009","Alejandro Doria","cineasta argentino "
"1939-11 - 1","1939","-1","Barbara Bosson","actriz estadounidense."
"1939-11 - 1","1939","-1","Bernard Kouchner","médico y político francés."
"1941-11 - 1","1941","-1","Joe Caldwell","baloncestista estadounidense."
"1941-11-1","1941","2013","Ralph Klein","político canadiense "
"1942-11-1","1942","2021","Larry Flynt","editor de la industria pornográfica estadounidense "
"1943-11 - 1","1943","-1","Salvatore Adamo","cantante belga."
"1943-11 - 1","1943","-1","Alfio Basile","futbolista y entrenador de fútbol argentino."
"1944-11-1","1944","2017","Bobby ""The Brain"" Heenan","mánager de lucha libre profesional estadounidense "
"1944-11 - 1","1944","-1","Oscar Temaru","político polinesio."
"1944-11 - 1","1944","-1","Sergio Markarián","entrenador de fútbol uruguayo."
"1947-11-1","1947","1980","Adriana Lesgart","guerrillera argentina asesinada por la dictadura de Videla "
"1947-11-1","1947","2021","Jim Steinman","compositor estadounidense "
"1947-11 - 1","1947","-1","César Castellanos Madrid","político hondureño."
"1949-11 - 1","1949","-1","David Foster","músico y productor discográfico canadiense."
"1949-11 - 1","1949","-1","Michael Griffin","físico e ingeniero estadounidense, jefe de la NASA."
"1950-11 - 1","1950","-1","Robert B. Laughlin","físico estadounidense, premio Nobel de Física en 1998."
"1950-11-1","1950","2011","Dan Peek","guitarrista estadounidense, de la banda América "
"1951-11 - 1","1951","-1","Ronald Bell","cantante y saxofonista estadounidense, de la banda Kool & The Gang."
"1951-11 - 1","1951","-1","Manuel Cacho Quesada","diplomático español."
"1952-11-1","1952","2010","Ali Reza Askari","militar iraní "
"1952-11-1","1952","1997","Maguso","actriz colombiana "
"1954-11 - 1","1954","-1","Maribel Martín","actriz española."
"1955-11 - 1","1955","-1","Antonio Romero Ruiz","político español."
"1955-11-1","1955","2011","Joe Arroyo","cantante y compositor colombiano "
"1956-11 - 1","1956","-1","Tomás Zamudio Briceño","político peruano."
"1957-11 - 1","1957","-1","Peter Ostrum","actor estadounidense."
"1957-11-1","1957","1988","Carlos Paião","cantante portugués "
"1958-11 - 1","1958","-1","Rachel Ticotin","actriz estadounidense."
"1959-11 - 1","1959","-1","Nancy Cartwright","actriz estadounidense."
"1960-11 - 1","1960","-1","Fernando Valenzuela","beisbolista mexicano."
"1961-11 - 1","1961","-1","Calvin Johnson","músico estadounidense, de la banda Beat Happening."
"1961-11 - 1","1961","-1","Gabriel Rolón","psicoanalista, escritor y músico argentino."
"1962-11 - 1","1962","-1","Danilo Montero","cantante cristiano costarricense."
"1962-11 - 1","1962","-1","Magne Furuholmen","músico noruego, de la banda A-ha."
"1962-11 - 1","1962","-1","Anthony Kiedis","cantante estadounidense de rock, de la banda Red Hot Chili Peppers."
"1963-11 - 1","1963","-1","Francisco José Alcaraz","activista social español."
"1963-11 - 1","1963","-1","Rick Allen","baterista británico, de la banda Def Leppard."
"1963-11 - 1","1963","-1","Mark Hughes","futbolista británico."
"1963-11 - 1","1963","-1","Monty Sopp","luchador profesional estadounidense."
"1964-11 - 1","1964","-1","Jon Jauregi","político español."
"1964-11 - 1","1964","-1","Daran Norris","actor estadounidense."
